date	kperiod	irregular	holiday	count	DeliverD1	DeliverD7	DeliverD14	DeliverD21	Bill1	Bill7	Bill14	Bill21	Deliver	AvgService
16-02-04	32	0	0	517	1	0	0	0	0	0	0	1	1	3.366667
16-02-04	33	0	0	477	1	0	0	0	0	0	0	1	1	3.555
16-02-04	34	0	0	587	1	0	0	0	0	0	0	1	1	3.315
16-02-04	35	0	0	525	1	0	0	0	0	0	0	1	1	3.066667
16-02-04	36	0	0	585	1	0	0	0	0	0	0	1	1	3.206667
16-02-04	37	0	0	580	1	0	0	0	0	0	0	1	1	3.47
16-02-04	38	0	0	513	1	0	0	0	0	0	0	1	1	3.188333
16-02-04	39	0	0	490	1	0	0	0	0	0	0	1	1	3.391667
16-02-04	40	0	0	490	1	0	0	0	0	0	0	1	1	3.218333
16-02-04	41	0	0	459	1	0	0	0	0	0	0	1	1	3.186667
16-02-04	42	0	0	492	1	0	0	0	0	0	0	1	1	3.035
16-02-04	43	0	0	388	1	0	0	0	0	0	0	1	1	3.158333
16-02-04	44	0	0	406	1	0	0	0	0	0	0	1	1	3.211667
16-02-04	45	0	0	342	1	0	0	0	0	0	0	1	1	3.165
16-02-04	46	0	0	287	1	0	0	0	0	0	0	1	1	2.803333
16-02-04	47	0	0	210	1	0	0	0	0	0	0	1	1	2.773333
16-02-04	48	0	0	174	1	0	0	0	0	0	0	1	1	2.728333
17-02-04	1	0	0	114	1	0	0	0	0	0	0	0	1	2.831667
17-02-04	2	0	0	75	1	0	0	0	0	0	0	0	1	2.413333
17-02-04	3	0	0	49	1	0	0	0	0	0	0	0	1	1.571667
17-02-04	4	0	0	33	1	0	0	0	0	0	0	0	1	1.63
17-02-04	5	0	0	29	1	0	0	0	0	0	0	0	1	1.246667
17-02-04	6	0	0	19	1	0	0	0	0	0	0	0	1	0.996667
17-02-04	7	0	0	13	1	0	0	0	0	0	0	0	1	2.753333
17-02-04	8	0	0	9	1	0	0	0	0	0	0	0	1	3.251667
17-02-04	9	0	0	9	1	0	0	0	0	0	0	0	1	1.001667
17-02-04	10	0	0	8	1	0	0	0	0	0	0	0	1	0.726667
17-02-04	11	0	0	5	1	0	0	0	0	0	0	0	1	1.63
17-02-04	12	0	0	12	1	0	0	0	0	0	0	0	1	2.471667
17-02-04	13	0	0	18	1	0	0	0	0	0	0	0	1	2.101667
17-02-04	14	0	0	41	1	0	0	0	0	0	0	0	1	2.788333
17-02-04	15	0	0	51	1	0	0	0	0	0	0	0	1	3.393333
17-02-04	16	0	0	128	1	0	0	0	0	0	0	0	1	2.95
17-02-04	17	0	0	214	1	0	0	0	0	0	0	0	1	2.936667
17-02-04	18	0	0	294	1	0	0	0	0	0	0	0	1	3.498333
17-02-04	19	0	0	391	1	0	0	0	0	0	0	0	1	3.541667
17-02-04	20	0	0	365	1	0	0	0	0	0	0	0	1	3.455
17-02-04	21	0	0	436	1	0	0	0	0	0	0	0	1	3.465
17-02-04	22	0	0	471	1	0	0	0	0	0	0	0	1	3.001667
17-02-04	23	0	0	495	1	0	0	0	0	0	0	0	1	3.375
17-02-04	24	0	0	382	1	0	0	0	0	0	0	0	1	3.14
17-02-04	25	0	0	467	1	0	0	0	0	0	0	0	1	3.008333
17-02-04	26	0	0	445	1	0	0	0	0	0	0	0	1	3.281667
17-02-04	27	0	0	490	1	0	0	0	0	0	0	0	1	3.361667
17-02-04	28	0	0	470	1	0	0	0	0	0	0	0	1	3.183333
17-02-04	29	0	0	474	1	0	0	0	0	0	0	0	1	3.593333
17-02-04	30	0	0	491	1	0	0	0	0	0	0	0	1	3.266667
17-02-04	31	0	0	444	1	0	0	0	0	0	0	0	1	2.913333
17-02-04	32	0	0	405	1	0	0	0	0	0	0	0	1	3.581667
17-02-04	33	0	0	437	1	0	0	0	0	0	0	0	1	3.346667
17-02-04	34	0	0	471	1	0	0	0	0	0	0	0	1	3.506667
17-02-04	35	0	0	464	1	0	0	0	0	0	0	0	1	3.681667
17-02-04	36	0	0	433	1	0	0	0	0	0	0	0	1	3.413333
17-02-04	37	0	0	510	1	0	0	0	0	0	0	0	1	3.568333
17-02-04	38	0	0	502	1	0	0	0	0	0	0	0	1	3.305
17-02-04	39	0	0	449	1	0	0	0	0	0	0	0	1	3.306667
17-02-04	40	0	0	376	1	0	0	0	0	0	0	0	1	3.21
17-02-04	41	0	0	474	1	0	0	0	0	0	0	0	1	3.421667
17-02-04	42	0	0	387	1	0	0	0	0	0	0	0	1	3.226667
17-02-04	43	0	0	376	1	0	0	0	0	0	0	0	1	3.713333
17-02-04	44	0	0	379	1	0	0	0	0	0	0	0	1	3.426667
17-02-04	45	0	0	324	1	0	0	0	0	0	0	0	1	3.316667
17-02-04	46	0	0	298	1	0	0	0	0	0	0	0	1	3.153333
17-02-04	47	0	0	198	1	0	0	0	0	0	0	0	1	2.836667
17-02-04	48	0	0	137	1	0	0	0	0	0	0	0	1	2.263333
18-02-04	1	0	0	107	0	0	0	0	0	0	0	0	0	2.965
18-02-04	2	0	0	88	0	0	0	0	0	0	0	0	0	2.59
18-02-04	3	0	0	49	0	0	0	0	0	0	0	0	0	1.763333
18-02-04	4	0	0	37	0	0	0	0	0	0	0	0	0	2.091667
18-02-04	5	0	0	25	0	0	0	0	0	0	0	0	0	3.983333
18-02-04	6	0	0	18	0	0	0	0	0	0	0	0	0	3.321667
18-02-04	7	0	0	15	0	0	0	0	0	0	0	0	0	1.831667
18-02-04	8	0	0	14	0	0	0	0	0	0	0	0	0	3.006667
18-02-04	9	0	0	10	0	0	0	0	0	0	0	0	0	5.66
18-02-04	10	0	0	5	0	0	0	0	0	0	0	0	0	1.663333
18-02-04	11	0	0	9	0	0	0	0	0	0	0	0	0	2.451667
18-02-04	12	0	0	1	0	0	0	0	0	0	0	0	0	0.416667
18-02-04	13	0	0	31	0	0	0	0	0	0	0	0	0	1.835
18-02-04	14	0	0	64	0	0	0	0	0	0	0	0	0	1.526667
18-02-04	15	0	0	95	0	0	0	0	0	0	0	0	0	1.965
18-02-04	16	0	0	146	0	0	0	0	0	0	0	0	0	3.051667
18-02-04	17	0	0	263	0	0	0	0	0	0	0	0	0	3.266667
18-02-04	18	0	0	268	0	0	0	0	0	0	0	0	0	3.243333
18-02-04	19	0	0	303	0	0	0	0	0	0	0	0	0	3.028333
18-02-04	20	0	0	374	0	0	0	0	0	0	0	0	0	3.251667
18-02-04	21	0	0	453	0	0	0	0	0	0	0	0	0	3.133333
18-02-04	22	0	0	429	0	0	0	0	0	0	0	0	0	3.598333
18-02-04	23	0	0	455	0	0	0	0	0	0	0	0	0	3.373333
18-02-04	24	0	0	503	0	0	0	0	0	0	0	0	0	3.528333
18-02-04	25	0	0	460	0	0	0	0	0	0	0	0	0	3.04
18-02-04	26	0	0	444	0	0	0	0	0	0	0	0	0	3.145
18-02-04	27	0	0	490	0	0	0	0	0	0	0	0	0	3.136667
18-02-04	28	0	0	502	0	0	0	0	0	0	0	0	0	3.255
18-02-04	29	0	0	484	0	0	0	0	0	0	0	0	0	2.996667
18-02-04	30	0	0	442	0	0	0	0	0	0	0	0	0	3.065
18-02-04	31	0	0	426	0	0	0	0	0	0	0	0	0	3.201667
18-02-04	32	0	0	461	0	0	0	0	0	0	0	0	0	3.035
18-02-04	33	0	0	489	0	0	0	0	0	0	0	0	0	3.14
18-02-04	34	0	0	427	0	0	0	0	0	0	0	0	0	2.763333
18-02-04	35	0	0	435	0	0	0	0	0	0	0	0	0	3.246667
18-02-04	36	0	0	464	0	0	0	0	0	0	0	0	0	3.246667
18-02-04	37	0	0	463	0	0	0	0	0	0	0	0	0	3.23
18-02-04	38	0	0	494	0	0	0	0	0	0	0	0	0	3.14
18-02-04	39	0	0	487	0	0	0	0	0	0	0	0	0	3.22
18-02-04	40	0	0	514	0	0	0	0	0	0	0	0	0	3.641667
18-02-04	41	0	0	367	0	0	0	0	0	0	0	0	0	3.375
18-02-04	42	0	0	432	0	0	0	0	0	0	0	0	0	2.793333
18-02-04	43	0	0	388	0	0	0	0	0	0	0	0	0	3.111667
18-02-04	44	0	0	356	0	0	0	0	0	0	0	0	0	3.051667
18-02-04	45	0	0	318	0	0	0	0	0	0	0	0	0	3.203333
18-02-04	46	0	0	241	0	0	0	0	0	0	0	0	0	2.806667
18-02-04	47	0	0	205	0	0	0	0	0	0	0	0	0	2.891667
18-02-04	48	0	0	133	0	0	0	0	0	0	0	0	0	2.775
19-02-04	1	0	0	104	0	0	0	0	0	0	0	0	0	2.805
19-02-04	2	0	0	54	0	0	0	0	0	0	0	0	0	2.456667
19-02-04	3	0	0	42	0	0	0	0	0	0	0	0	0	3.373333
19-02-04	4	0	0	24	0	0	0	0	0	0	0	0	0	4.486667
19-02-04	5	0	0	14	0	0	0	0	0	0	0	0	0	2.463333
19-02-04	6	0	0	11	0	0	0	0	0	0	0	0	0	2.585
19-02-04	7	0	0	12	0	0	0	0	0	0	0	0	0	2.68
19-02-04	8	0	0	12	0	0	0	0	0	0	0	0	0	3.456667
19-02-04	9	0	0	3	0	0	0	0	0	0	0	0	0	3.521667
